actor,movie_or_TV_name
José Canalejas,Minnesota Clay
José Canalejas,The Great Adventure
José Canalejas,Der Tiefstapler
José Canalejas,Sabata the Killer
José Canalejas,A Fistful of Dollars
José Canalejas,Ride and Kill
José Canalejas,Attack of the Blind Dead
José Canalejas,El escándalo
José Canalejas,The Man Who Killed Billy the Kid
José Canalejas,Bad Medicine
José Canalejas,Niño nadie
José Canalejas,Femenino singular
José Canalejas,The Mercenary
José Canalejas,"Raise Your Hands, Dead Man! You're Under Arrest"
José Canalejas,La casa de las Chivas
José Canalejas,Ambiciosa
José Canalejas,I Want Him Dead
José Canalejas,The Man Called Noon
José Canalejas,Red Lips
José Canalejas,Huevos revueltos
José Canalejas,The Relentless Four
José Canalejas,A Dragonfly for Each Corpse
José Canalejas,Revenge of the Black Wolf
José Canalejas,Our Father
José Canalejas,La espada negra
José Canalejas,What Am I Doing in the Middle of the Revolution?
José Canalejas,Mutiny at Fort Sharpe
José Canalejas,Torrejón City
José Canalejas,Sign of Zorro
José Canalejas,El segundo poder
Luciano Rossi,Boot Hill
Luciano Rossi,Contraband
Luciano Rossi,White Fang to the Rescue
Luciano Rossi,Django Kills Softly
Luciano Rossi,Death Walks on High Heels
Luciano Rossi,Hotel Paradise
Luciano Rossi,Son of Django
Luciano Rossi,City of the Living Dead
Luciano Rossi,Silence the Witness
Luciano Rossi,Donne e magia con satanasso in compagnia
Luciano Rossi,The Terror with Cross-Eyes
Luciano Rossi,Salon Kitty
Luciano Rossi,Hate Is My God
Luciano Rossi,Frame Up
Luciano Rossi,Kiss of a Dead Woman
Luciano Rossi,Sheriff With the Gold
Luciano Rossi,Macrò
Luciano Rossi,Violent Naples
Luciano Rossi,The Sword of the Barbarians
Luciano Rossi,Closed Circuit
Luciano Rossi,The Conformist
Luciano Rossi,Savage Island
Luciano Rossi,Violent Rome
Luciano Rossi,Death Smiles on a Murderer
Luciano Rossi,Django the Bastard
Luciano Rossi,LSD Flesh of Devil
Luciano Rossi,Django
Luciano Rossi,The Violent Professionals
Luciano Rossi,Heroes in Hell
Luciano Rossi,Five for Hell
Luciano Rossi,The Sewer Rats
Luciano Rossi,Watch Out Gringo! Sabata Will Return
Luciano Rossi,Emanuelle and Françoise
Luciano Rossi,Death Sentence
Luciano Rossi,Death Walks at Midnight
Luciano Rossi,Long Live the Lady!
Luciano Rossi,Forgotten Pistolero
Luciano Rossi,Why They Kill Themselves
Luciano Rossi,Deaf Smith & Johnny Ears
Luciano Rossi,Halleluja for Django
Luciano Rossi,Free Hand for a Tough Cop
Luciano Rossi,The Red Nights of the Gestapo
Luciano Rossi,Gangsters
Luciano Rossi,The Rover
Luciano Rossi,"So Sweet, So Dead"
Luciano Rossi,Ingrid on the Road
Luciano Rossi,The Unholy Four
Luciano Rossi,They Call Me Trinity
Luciano Rossi,Sartana's Here... Trade Your Pistol for a Coffin
Luciano Rossi,Night Police Station
Luciano Rossi,"Django, Prepare a Coffin"
Luciano Rossi,Two Brothers in Trinity
Luciano Rossi,The Last Chance
Luciano Rossi,The Sicilian Connection
Luciano Rossi,"Run, Man, Run"
Luciano Rossi,I Am Afraid
Luciano Rossi,"Killer 77, Alive or Dead"
Luciano Rossi,Crime Busters
Luciano Rossi,Love Angels
Luciano Rossi,Date for a Murder
Luciano Rossi,A Man Called Sledge
Rafael Albaicín,The Ceremony
Rafael Albaicín,El chulo
Rafael Albaicín,Curro Jiménez
Rafael Albaicín,Death Haunts Monica
Rafael Albaicín,"China 9, Liberty 37"
Rafael Albaicín,Compañeros
Rafael Albaicín,Relevo para un pistolero
Rafael Albaicín,No quiero perder la honra
Rafael Albaicín,"House of 1,000 Dolls"
Rafael Albaicín,Cuando los maridos se iban a la guerra
Rafael Albaicín,Ringo and Gringo Against All
Rafael Albaicín,Seven Guns for Timothy
Rafael Albaicín,Siempre Carmen
Rafael Albaicín,The Scarlet Letter
Rafael Albaicín,La fiesta sigue
Rafael Albaicín,"Robin Hood, Arrow, Beans and Karate"
Rafael Albaicín,Sonny and Jed
Rafael Albaicín,The Hunting Party
Rafael Albaicín,El fenómeno
Rafael Albaicín,El Condor
Rafael Albaicín,Messengers of Peace
Rafael Albaicín,Graf Luckner
Rafael Albaicín,Creeping Death
Rafael Albaicín,Contraband Spain
Rafael Albaicín,The Anchorite
Rafael Albaicín,Django
Rafael Albaicín,Rueda de sospechosos
Rafael Albaicín,A Dog Called... Vengeance
Rafael Albaicín,The Strangers
Rafael Albaicín,Nuits andalouses
Rafael Albaicín,The Running Man
Rafael Albaicín,Doña Perfecta
Rafael Albaicín,Guerreras verdes
Rafael Albaicín,País S. A.
Rafael Albaicín,Whisky and Ghosts
Rafael Albaicín,El hombre que supo amar
Rafael Albaicín,Polvorilla
Rafael Albaicín,In a Colt's Shadow
Rafael Albaicín,Cuando los niños vienen de Marsella
Rafael Albaicín,El hombre que viajaba despacito
Rafael Albaicín,Play Dirty
Rafael Albaicín,Charley-One-Eye
Rafael Albaicín,Special Mission Lady Chaplin
Rafael Albaicín,The Savage Guns
Rafael Albaicín,The Vampires' Night Orgy
Rafael Albaicín,"María Antonia ""La Caramba"""
Rafael Albaicín,Esposa y amante
Rafael Albaicín,Massacre at Fort Grant
Rafael Albaicín,A Dragonfly for Each Corpse
Rafael Albaicín,Navajo Joe
Rafael Albaicín,Torero por alegrías
Rafael Albaicín,Assault on Fort Texan
Rafael Albaicín,"Watch Out, We're Mad"
Rafael Albaicín,Scheherazade
Rafael Albaicín,Sabata the Killer
Remo De Angelis,Viva l'Italia!
Remo De Angelis,The Violent Patriot
Remo De Angelis,The Great Silence
Remo De Angelis,John the Bastard
Remo De Angelis,The Great Kidnapping
Remo De Angelis,Death on the Run
Remo De Angelis,The Glass Sphinx
Remo De Angelis,Bloody Che Contra
Remo De Angelis,"Texas, Adios"
Remo De Angelis,Django
Remo De Angelis,Massacre in the Black Forest
Remo De Angelis,The Fury of Achilles
Remo De Angelis,Hannibal
Remo De Angelis,Sign of the Gladiator
Remo De Angelis,Madigan's Millions
Remo De Angelis,Blueprint for a Massacre
Remo De Angelis,Get Mean
Remo De Angelis,When Heroes Die
Remo De Angelis,The Great Adventure
Remo De Angelis,In a Colt's Shadow
Remo De Angelis,The Tough and the Mighty
Remo De Angelis,Here We for Example...
Remo De Angelis,The Unholy Four
Remo De Angelis,The Mercenary
Remo De Angelis,Agent Sigma 3 - Mission Goldwalther
Remo De Angelis,I Want Him Dead
Remo De Angelis,Black Box Affair
Remo De Angelis,"Django, Prepare a Coffin"
Remo De Angelis,Clint the Stranger
Remo De Angelis,The Specialists
Remo De Angelis,My Dear Killer
Remo De Angelis,The Belle Starr Story
Remo De Angelis,Sign of Zorro
Remo De Angelis,They Still Call Me Amen
Remo De Angelis,In the Shadow of the Eagles
Remo De Angelis,A Man Called Sledge
Gino Pernice,Vado a vedere il mondo capisco tutto e torno
Gino Pernice,Compañeros
Gino Pernice,Soldier of Fortune
Gino Pernice,"Bianco, rosso, giallo, rosa"
Gino Pernice,Spaghetti House
Gino Pernice,The Borgias or the golden blood
Gino Pernice,The Sex Machine
Gino Pernice,Smell of Flesh
Gino Pernice,"Texas, Adios"
Gino Pernice,Jus primae noctis
Gino Pernice,Django
Gino Pernice,Io non spezzo... rompo
Gino Pernice,Daniele and Maria
Gino Pernice,Attack and Retreat
Gino Pernice,The Man Who Laughs
Gino Pernice,Culo e camicia
Gino Pernice,Joe Petrosino
Gino Pernice,The Gamecock
Gino Pernice,The Head of the Family
Gino Pernice,The 10th Victim
Gino Pernice,Minnesota Clay
Gino Pernice,Di che segno sei?
Gino Pernice,The Story of Romance and Knife
Gino Pernice,Secret Scandal
Gino Pernice,Il corpo della ragassa
Gino Pernice,Adultery Italian Style
Gino Pernice,How to Lose a Wife and Find a Lover
Gino Pernice,The Crazy Westerners
Gino Pernice,Carmela is a doll
Gino Pernice,The Specialists
Gino Pernice,Hospitals: The White Mafia
Gino Pernice,The Working Class Goes to Heaven
Gino Pernice,Holy Cow
Gino Pernice,The Hellbenders
Gino Pernice,The Rules of the Game
Giovanni Ivan Scratuglia,Man Only Cries for Love
Giovanni Ivan Scratuglia,The Black Sheep
Giovanni Ivan Scratuglia,Face to Face
Giovanni Ivan Scratuglia,Garter Colt
Giovanni Ivan Scratuglia,Commandments for a Gangster
Giovanni Ivan Scratuglia,The Ten Million Dollar Grab
Giovanni Ivan Scratuglia,Execution
Giovanni Ivan Scratuglia,Operation San Pietro
Giovanni Ivan Scratuglia,The Head of the Family
Giovanni Ivan Scratuglia,Gangsters '70
Giovanni Ivan Scratuglia,Hate Thy Neighbor
Giovanni Ivan Scratuglia,La lunga sfida
Giovanni Ivan Scratuglia,The Vatican Affair
Giovanni Ivan Scratuglia,The Rover
Giovanni Ivan Scratuglia,All on the Red
Giovanni Ivan Scratuglia,Luana
Giovanni Ivan Scratuglia,Rififi ad Amsterdam
Giovanni Ivan Scratuglia,Two Sons of Ringo
Giovanni Ivan Scratuglia,The Return of Ringo
Giovanni Ivan Scratuglia,Son of Django
Giovanni Ivan Scratuglia,Lucrezia
Giovanni Ivan Scratuglia,"Listen, Let's Make Love"
Giovanni Ivan Scratuglia,Taste of Vengeance
Giovanni Ivan Scratuglia,A Gun for One Hundred Graves
Giovanni Ivan Scratuglia,The Beckett Affair
Giovanni Ivan Scratuglia,"Man, Pride and Vengeance"
Giovanni Ivan Scratuglia,God Made Them... I Kill Them
Giovanni Ivan Scratuglia,The Treasure of San Gennaro
Giovanni Ivan Scratuglia,Django
Giovanni Ivan Scratuglia,Don Chisciotte e Sancio Panza
Giovanni Ivan Scratuglia,The Doll of Satan
Giovanni Ivan Scratuglia,Pleasant Nights
Giovanni Ivan Scratuglia,The Stone Forest
Giovanni Ivan Scratuglia,Cisco
Giovanni Ivan Scratuglia,Go For Broke
Giovanni Ivan Scratuglia,A Sky Full of Stars for a Roof
Giovanni Ivan Scratuglia,Anyone Can Play
Giovanni Ivan Scratuglia,We'll Go to the City
Giovanni Ivan Scratuglia,Tequila Joe
Giovanni Ivan Scratuglia,One Dollar Too Many
Giovanni Ivan Scratuglia,No Graves on Boot Hill
Giovanni Ivan Scratuglia,Oedipus Rex
Giovanni Ivan Scratuglia,A Long Ride from Hell
Giovanni Ivan Scratuglia,Commandos
Giovanni Ivan Scratuglia,A Stranger in Town
Giovanni Ivan Scratuglia,Cjamango
Giovanni Ivan Scratuglia,Brutti di notte
